Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Flood?
34.4,26.3,216.0,86.0,0.937037037,5.3,1.0
33.2,24.4,52.0,80.0,0.490740741,3.2,0.0
30.7,18.5,0.0,73.0,0.312962963,0.9,0.0
29.4,14.8,0.0,76.0,0.337037037,0.2,0.0
31.1,15.5,0.0,77.0,0.453703704,1.7,0.0
30.5,16.6,12.0,75.0,0.659259259,2.3,0.0
33.6,16.5,51.0,73.0,1.085185185,2.4,0.0
36.6,24.5,129.0,79.0,1.772222222,3.0,0.0
36.1,26.2,289.0,83.0,1.703703704,4.0,1.0
35.5,27.0,171.0,84.0,1.631481481,4.9,1.0
33.3,26.2,414.0,90.0,1.57037037,6.0,1.0
33.4,26.1,268.0,88.0,1.32962963,5.6,1.0
34.4,26.0,321.0,85.0,0.937037037,5.4,1.0
33.8,25.5,208.0,86.0,0.490740741,3.3,1.0
32.2,21.2,0.0,86.0,0.312962963,1.7,0.0
28.8,16.7,0.0,78.0,0.337037037,0.8,0.0
29.9,14.5,24.0,77.0,0.453703704,1.4,0.0
30.5,15.6,5.0,80.0,0.659259259,1.0,0.0
36.4,20.6,59.0,72.0,1.085185185,1.5,0.0
37.2,24.9,59.0,74.0,1.772222222,3.2,0.0
36.1,25.6,258.0,79.0,1.703703704,4.6,1.0
34.6,25.8,377.0,85.0,1.631481481,5.4,1.0
33.8,25.8,751.0,87.0,1.57037037,6.5,1.0
32.7,25.8,621.0,87.0,1.32962963,6.1,1.0
33.8,25.3,608.0,91.0,0.937037037,5.7,1.0
32.3,24.3,475.0,87.0,0.490740741,4.4,1.0
29.9,18.5,0.0,79.0,0.312962963,0.6,0.0
27.2,14.8,0.0,78.0,0.337037037,0.8,0.0
27.3,12.8,0.0,71.0,0.3,1.3,0.0
32.7,16.5,0.0,77.0,0.1,0.5,0.0
34.9,19.6,36.0,69.0,0.6,1.8,0.0
36.6,24.9,13.0,71.0,1.0,1.8,0.0
37.2,26.4,324.0,76.0,1.1,4.2,1.0
34.4,26.5,433.0,84.0,0.6,5.0,1.0
32.8,25.5,716.0,89.0,0.4,6.0,1.0
33.6,26.6,823.0,88.0,0.4,6.2,1.0
34.0,25.9,650.0,88.0,0.3,5.4,1.0
33.8,24.1,316.0,80.0,1.6,2.5,1.0
31.7,18.8,79.0,74.0,0.3,1.3,0.0
28.3,15.1,0.0,75.0,0.1,0.8,0.0
28.8,14.5,8.0,73.0,0.2,1.7,0.0
31.6,14.9,43.0,70.0,0.3,2.2,0.0
34.4,22.8,51.0,79.0,0.9,2.9,0.0
37.2,24.8,44.0,79.0,0.8,2.9,0.0
36.6,25.5,303.0,81.0,1.2,3.6,1.0
36.1,25.7,553.0,86.0,0.5,5.9,1.0
34.4,26.2,244.0,83.0,0.5,5.6,1.0
33.8,26.0,529.0,86.0,0.3,5.5,1.0
33.3,26.0,206.0,85.0,0.5,5.4,1.0
33.3,24.6,108.0,82.0,0.3,3.2,0.0
31.8,19.3,0.0,75.0,0.2,1.2,0.0
26.6,12.6,0.0,82.0,0.2,0.2,0.0
28.3,11.6,0.0,74.0,0.3,0.5,0.0
31.6,16.2,44.0,70.0,0.2,2.1,0.0
37.2,19.9,0.0,58.0,0.2,0.6,0.0
36.6,24.6,1.0,72.0,1.6,2.7,0.0
36.1,24.4,134.0,75.0,1.4,4.4,1.0
34.8,25.7,325.0,84.0,1.4,6.5,1.0
34.4,26.6,421.0,84.0,1.2,5.7,1.0
35.6,26.2,229.0,87.0,0.9,5.8,1.0
33.8,26.3,333.0,85.0,1.5,5.4,1.0
32.7,24.3,154.0,82.0,0.6,3.7,0.0
30.5,18.9,262.0,75.0,0.1,0.6,1.0
27.7,14.5,0.0,71.0,0.2,0.8,0.0
27.7,12.2,0.0,67.0,0.2,0.5,0.0
32.7,17.3,0.0,65.0,0.2,0.9,0.0
36.6,20.2,260.0,61.0,0.6,1.4,1.0
35.5,23.3,54.0,72.0,0.9,3.5,0.0
34.9,24.6,252.0,87.0,0.9,4.7,1.0
34.9,26.2,232.0,88.0,1.1,5.7,1.0
32.7,26.2,372.0,87.0,0.7,5.6,1.0
36.1,26.0,234.0,87.0,0.7,5.5,1.0
34.4,26.1,274.0,86.0,0.6,4.6,1.0
33.4,24.6,385.0,86.0,0.5,3.4,1.0
31.1,19.0,0.0,78.0,0.2,1.0,0.0
29.4,15.3,0.0,77.0,0.1,0.6,0.0
26.6,12.3,0.0,77.0,0.4,0.9,0.0
30.6,15.2,2.0,75.0,0.8,1.9,0.0
33.3,20.2,3.0,73.0,1.2,2.2,0.0
34.0,23.9,52.0,78.0,2.1,4.2,0.0
33.6,25.0,47.0,81.0,1.6,4.0,0.0
32.9,25.7,225.0,87.0,2.8,6.3,1.0
31.2,25.6,318.0,88.0,1.9,7.2,1.0
31.4,25.7,254.0,88.0,2.0,6.9,1.0
32.5,25.5,148.0,87.0,1.0,6.5,1.0
32.0,23.8,214.0,85.0,0.9,5.5,1.0
30.7,18.8,78.0,80.0,0.5,2.6,0.0
27.8,13.7,0.0,63.0,0.2,1.3,0.0
26.6,12.3,0.0,80.0,0.1,1.5,0.0
30.5,15.2,44.0,76.0,0.5,1.8,0.0
33.3,20.2,34.0,74.0,0.5,2.4,0.0
34.0,23.9,53.0,79.0,1.2,5.1,0.0
33.6,25.0,127.0,81.0,1.3,4.6,0.0
32.9,25.7,407.0,87.0,1.8,7.1,1.0
31.2,25.6,185.0,89.0,2.2,7.0,1.0
31.4,25.7,346.0,89.0,1.3,7.0,1.0
32.5,25.5,179.0,88.0,1.0,6.4,1.0
32.0,23.8,171.0,85.0,0.4,5.0,1.0
30.7,18.8,1.0,80.0,0.2,1.9,0.0
27.8,13.7,16.0,81.0,0.6,3.3,0.0
26.6,12.3,19.0,82.0,0.5,2.7,0.0
30.5,15.2,0.0,77.0,0.4,0.5,0.0
33.3,20.2,0.0,77.0,1.1,3.2,0.0
34.0,23.9,1.0,80.0,2.0,4.5,0.0
33.6,25.0,175.0,79.0,1.6,3.9,1.0
32.9,25.7,416.0,88.0,1.9,5.6,1.0
31.2,25.6,328.0,87.0,1.5,7.2,1.0
31.4,25.7,434.0,90.0,1.2,7.8,1.0
32.7,25.7,311.0,88.0,1.5,6.8,1.0
32.0,23.8,317.0,87.0,0.5,3.6,1.0
30.7,18.8,26.0,82.0,0.2,2.9,0.0
27.8,13.7,53.0,82.0,0.3,2.1,0.0
26.6,12.3,42.0,78.0,0.4,2.7,0.0
33.8,15.6,0.0,75.0,0.7,0.7,0.0
33.4,19.0,92.0,76.0,1.2,3.3,0.0
36.9,23.0,105.0,74.0,1.6,2.9,0.0
35.8,25.3,71.0,80.0,2.0,4.3,0.0
34.7,25.5,159.0,88.0,1.9,5.7,1.0
32.9,24.3,292.0,91.0,1.5,6.6,1.0
32.8,25.6,228.0,90.0,1.8,6.5,1.0
33.5,25.2,547.0,90.0,1.5,6.0,1.0
32.8,22.7,342.0,83.0,0.6,2.7,1.0
29.4,15.3,0.0,77.0,0.3,1.0,0.0
28.1,13.1,0.0,75.0,0.4,1.6,0.0
28.9,12.2,0.0,75.0,0.6,0.9,0.0
31.1,15.0,14.0,73.0,0.7,1.9,0.0
36.7,19.3,86.0,69.0,1.1,2.8,0.0
35.9,23.4,64.0,77.0,1.8,4.1,0.0
37.6,24.9,246.0,79.0,2.3,5.9,1.0
32.5,24.7,847.0,90.0,1.2,7.1,1.0
35.2,25.5,422.0,89.0,1.8,7.0,1.0
36.1,25.5,331.0,89.0,1.1,6.8,1.0
37.7,25.8,159.0,86.0,1.0,6.1,1.0
35.0,23.1,231.0,86.0,0.6,4.9,1.0
30.8,18.1,12.0,80.0,0.3,3.2,0.0
29.7,12.2,0.0,78.0,0.6,1.3,0.0
27.9,10.6,0.0,74.0,0.6,1.0,0.0
34.2,14.9,0.0,69.0,0.7,1.4,0.0
35.0,20.9,107.0,77.0,1.2,3.6,0.0
36.4,23.5,82.0,77.0,1.8,3.9,0.0
35.8,25.1,55.0,77.0,0.9,4.7,0.0
33.1,26.3,347.0,89.0,1.3,7.1,1.0
31.9,25.5,487.0,91.0,1.5,6.9,1.0
33.2,25.4,546.0,91.0,1.2,7.0,1.0
34.3,26.0,366.0,87.0,1.3,5.6,1.0
33.8,23.7,45.0,84.0,0.4,3.7,0.0
32.8,18.2,22.0,80.0,0.3,1.9,0.0
28.1,12.9,0.0,78.0,0.5,1.6,0.0
26.7,11.6,0.0,78.0,0.5,2.1,0.0
31.6,15.3,24.0,74.0,0.6,2.1,0.0
35.4,21.1,5.0,74.0,1.7,3.1,0.0
35.0,24.3,91.0,80.0,2.0,3.6,0.0
35.6,26.2,124.0,80.0,2.3,5.2,1.0
33.7,25.6,408.0,89.0,2.3,6.7,1.0
34.4,25.7,530.0,90.0,1.8,6.7,1.0
33.3,25.9,317.0,88.0,1.3,6.3,1.0
32.8,25.7,571.0,89.0,1.2,5.7,1.0
33.1,24.0,253.0,87.0,1.5,4.2,1.0
31.2,18.5,90.0,80.0,0.8,2.6,0.0
27.2,12.2,0.0,76.0,0.5,0.2,0.0
27.9,13.2,7.0,77.0,0.4,1.9,0.0
31.4,14.7,1.0,75.0,0.6,1.7,0.0
34.7,18.7,6.0,73.0,0.9,1.2,0.0
34.1,23.6,138.0,78.0,1.4,4.6,1.0
35.2,24.0,286.0,81.0,1.5,5.0,1.0
32.8,25.4,503.0,87.0,3.1,6.9,1.0
32.8,25.7,250.0,88.0,3.1,7.1,1.0
31.4,25.2,351.0,88.0,1.7,6.8,1.0
33.9,25.5,394.0,87.0,1.8,5.7,1.0
33.4,24.5,152.0,85.0,1.3,5.3,1.0
30.1,17.7,114.0,80.0,1.0,2.3,0.0
28.6,13.4,0.0,63.0,0.9,1.7,0.0
28.3,12.1,0.0,77.0,0.5,0.7,0.0
31.4,13.3,58.0,74.0,1.1,1.8,0.0
35.0,20.4,0.0,72.0,1.3,2.2,0.0
37.2,23.7,121.0,77.0,2.0,4.1,1.0
36.1,26.1,130.0,81.0,2.8,4.3,1.0
36.4,26.1,262.0,85.0,1.8,5.9,1.0
35.1,26.2,248.0,88.0,1.7,6.4,1.0
33.4,25.1,458.0,90.0,1.6,6.7,1.0
34.7,26.0,90.0,84.0,0.6,5.2,1.0
33.9,23.3,29.0,84.0,0.3,3.0,0.0
32.6,18.4,0.0,78.0,0.3,2.3,0.0
30.9,13.6,0.0,77.0,0.5,0.8,0.0
31.7,12.6,0.0,73.0,0.5,0.4,0.0
33.5,16.3,12.0,72.0,1.1,1.9,0.0
36.4,19.1,81.0,74.0,0.7,1.7,0.0
36.0,25.2,42.0,79.0,2.6,3.7,0.0
34.4,24.4,508.0,86.0,1.7,5.3,1.0
33.9,25.7,502.0,88.0,1.3,6.3,1.0
32.8,25.7,392.0,90.0,2.4,6.4,1.0
32.5,25.7,266.0,91.0,1.7,6.8,1.0
35.6,25.4,398.0,91.0,0.9,6.3,1.0
33.3,24.4,308.0,86.0,0.7,4.1,1.0
30.6,19.2,171.0,87.0,0.9,3.2,1.0
26.7,14.0,197.0,82.0,0.7,1.5,1.0
27.2,11.7,2.0,77.0,0.3,0.3,0.0
34.2,14.1,0.0,70.0,0.7,0.4,0.0
35.6,21.0,149.0,77.0,1.5,2.8,1.0
35.0,23.4,187.0,82.0,2.2,4.0,1.0
35.6,24.3,265.0,82.0,2.3,4.6,1.0
34.4,25.3,289.0,88.0,1.7,6.6,1.0
32.8,24.9,684.0,93.0,1.5,7.3,1.0
32.8,25.9,238.0,93.0,1.9,6.4,1.0
33.3,24.4,361.0,89.0,1.0,5.4,1.0
35.0,25.0,153.0,87.0,0.4,4.0,1.0
32.1,20.6,18.0,83.0,0.6,2.9,0.0
27.2,12.4,0.0,78.0,0.4,0.1,0.0
27.5,11.2,1.0,77.0,0.6,0.7,0.0
32.2,14.6,1.0,75.0,0.6,1.0,0.0
33.3,20.2,33.0,73.0,1.0,2.4,0.0
34.0,23.9,85.0,78.0,1.6,3.7,0.0
35.0,24.4,230.0,81.0,1.8,4.1,1.0
33.9,25.5,353.0,87.0,1.2,5.2,1.0
32.2,24.6,321.0,88.0,1.6,6.4,1.0
35.0,25.5,351.0,88.0,1.5,6.6,1.0
32.5,25.5,275.0,87.0,0.8,5.6,1.0
33.9,22.0,154.0,85.0,0.1,4.4,1.0
30.6,17.3,44.0,80.0,0.4,2.7,0.0
27.2,11.0,0.0,63.0,0.2,0.2,0.0
31.1,11.7,0.0,77.0,0.2,0.3,0.0
32.5,14.8,20.0,79.0,0.5,1.4,0.0
35.6,21.5,2.0,78.0,1.3,1.6,0.0
37.2,23.9,100.0,77.0,1.8,3.1,0.0
37.2,24.1,164.0,83.0,1.2,4.8,1.0
34.2,24.7,330.0,87.0,1.2,6.6,1.0
33.2,24.6,350.0,89.0,1.6,6.8,1.0
34.7,23.8,379.0,90.0,1.1,6.7,1.0
32.8,25.1,305.0,87.0,1.2,5.2,1.0
33.9,23.1,147.0,84.0,0.5,2.6,1.0
